report_id,date,site,department,report_text,is_synthetic
7e198f57-fa56-4dd0-9a7c-a28d3b773889,2002-10-02,Oil Well Drilling Service,Drilling,"One Killed, One Injured When Track Drill Strikes Power Line",False
bf409ed0-ac7a-4b7d-b438-0ae70ba05e18,2002-11-15,Oil Well Drilling Service,Drilling,Employee Killed When Struck By Crane Boom,False
9d785164-e153-4be0-8f53-0c31e096bac7,2002-11-16,Drilling Rig,Drilling,Oil Rig Fire Kills One Employee And Injures Another,False
e9575e13-be0d-4845-a00c-154b6eeec2d5,2002-11-17,Drilling Rig,Drilling,Employee Killed In Fall From Drilling Rig,False
77ab826a-f664-4021-a6fc-b633cdac032d,2002-12-21,Oil Well Drilling Service,Drilling,Employee Struck In Leg By Broken Survey Line,False
bad69b33-1b6b-4565-90f8-5e7bee3f0b8f,2003-01-31,Drilling Rig,Drilling,Employee Killed When Work-Over Rig Well Blow Up,False
d992f4fc-96b1-43b0-9149-caf6a6088dd2,2003-04-01,Oil Well Drilling Service,Drilling,Employee Struck By Tongs,False
403880ef-4c27-41ca-8af6-a9d2c90c34fd,2003-06-16,Oil Well Drilling Service,Drilling,Employee Struck In Head By Roller Guide,False
303fb0a3-f97b-4c0f-ba4c-04b00a3ae66a,2003-08-07,Oil Well Drilling Service,Drilling,Counterweight Strikes And Kills Employee,False
cd1d3369-dbea-487a-9883-7808d108781c,2003-08-15,Oil Well Drilling Service,Drilling,Two Employees Electrocuted When Drill Boom Strikes Power Lin,False
26582e43-dcfa-430f-a3a5-d574c142a32d,2003-09-07,Oil Well Drilling Service,Drilling,Employee Killed By Natural Gas Ignition,False
ae5e96ed-4798-4720-8cab-4372d0e89f54,2003-10-07,Oil Well Drilling Service,Drilling,Employee Amputates Finger,False
951c8c67-7f88-494d-8c19-5892e57702b1,2003-11-26,Oil Well Drilling Service,Drilling,Employee Killed When Caught In An Auger,False
d1efc5dc-126e-4f2a-be22-e9ba0a6207fa,2003-12-28,Oil Well Drilling Service,Drilling,Mussel Diver Drowns,False
555fb797-7b04-4c40-a180-9441af196424,2004-02-08,Oil Well Drilling Service,Drilling,Employee Struck By Drilling Line And Killed,False
c7cd8428-e57d-4d16-8817-7774e9133a8b,2004-05-31,Drilling Rig,Drilling,Employee Killed When Derrick Collapsed,False
8a292f6b-ffb9-4eb5-b088-94e6f8d19912,2004-08-02,Oil Well Drilling Service,Drilling,Employee Is Killed When Equipment Collapses,False
5e684d8c-2acd-4b00-998f-278704b97852,2004-08-31,Oil Well,Drilling,Burned Oil Well Employee Is Hospitalized,False
0c2c2094-61d0-4589-9315-39e4c8eb6cd1,2004-09-16,Drilling Rig,Drilling,Employee Is Injured When Drill Rig Overturns,False
c2f55532-c903-4007-a91b-251579084099,2004-10-05,Drilling Rig,Drilling,Employee Killed In Drilling Rig Accident,False
2ce40b99-9029-4fec-85ba-f559972b76bc,2004-10-10,Oil Well Drilling Service,Drilling,"One Employee Is Killed, Other Is Paralyzed",False
677def9c-2160-46ef-8739-9cd754e9a611,2004-12-22,Drilling Rig,Drilling,Employee Falls From Derrick,False
bcb678b2-5f7c-4689-9d77-221e45c7e719,2005-01-23,Oil Well Drilling Service,Drilling,Falling Pipe Strikes And Kills Employee,False
68ee74a8-8696-499c-8129-2cc559598297,2005-02-14,Oil Well Drilling Service,Drilling,Employee Is Killed When Struck In Chest By Drilling Pipe,False
c1ec0e45-f6b8-481c-92d2-6d882b1f9a70,2005-02-21,Oil Well,Drilling,Employee Is Killed When Caught In Water Well Drive Line,False
56dd2cb0-eb4d-4f56-a4a3-d891fa54cd7c,2005-02-24,Oil Well Drilling Service,Drilling,Shackle Fails And Amputates Employee'S Legs,False
04f989a6-ad17-494b-a376-f148b2f782b4,2005-05-12,Oil Well,Drilling,Employee Is Burned At Oil Well,False
76bcad5f-42ba-4832-8892-05fbec1873cd,2005-06-02,Oil Well,Drilling,Two Employees Are Killed In Well Explosion; One Is Injured,False
0562e488-943d-487b-83e2-00f556ea7900,2005-06-23,Oil Well Drilling Service,Drilling,Employee Is Electrocuted By Power Line; Another Is Shocked,False
ef9f2b9e-3d62-4b19-9f90-53df81e43b83,2005-07-20,Oil Well Drilling Service,Drilling,Employee Is Killed In Fall From Broken Ladder,False
70b7340f-d84e-48ef-a4bc-675b253892f5,2005-08-17,Drilling Rig,Drilling,Employee Is Killed When Crushed By Drill Rig,False
c40a2bd5-1396-4695-b65a-cdf6c45dee7d,2005-09-12,Oil Well Drilling Service,Drilling,Perforating Gun Kills Employee And Injures Another,False
2219af3a-8afa-4423-bb91-ce1e0e0ef3a0,2005-11-07,Drilling Rig,Drilling,Employee Killed In Fall From Derrick,False
