report_id,date,site,department,report_text,is_synthetic
c5196752-01a3-4b80-aea9-26f706107e26,2026-05-28,Pipeline-Station-4,Instrumentation,"LOTO locks were present, but one field tag number differed from the permit isolation list.",True
0322a407-ec55-4fa2-b91f-b444b25d3431,2026-07-14,Gas-Processing-Unit,Electrical,No incident observed during routine rounds; housekeeping and operating conditions were satisfactory.,True
dc23f741-1382-4c4d-821b-3865ed3828d7,2026-06-30,Refinery-A,Operations,"During the night shift, the operator noticed several small changes around the crude transfer pump area while completing routine rounds. There was no immediate alarm, trip, visible release, or injury, and the equipment remained available for service. However, the combination of observations created a condition that required a conservative response. The pump casing felt warmer than during the previous round, the local pressure indication fluctuated by a few units, and a light metallic vibration could be felt through the nearby handrail. A flexible hose used for temporary flushing was also routed across part of the access path, although it had been placed there earlier in the shift and was not leaking. At the same time, a contractor team was preparing for maintenance on an adjacent valve. Their permit package referenced the correct equipment number, but one field isolation tag did not visually match the tag number written on the printed isolation list. The supervisor paused the job and asked the control room to confirm the isolation boundary against the latest P&ID and MBR. While that verification was taking place, another worker began moving a small component using a chain block. The lifting path was close to the normal pedestrian route, and one person initially stood within the potential swing area. The lift was stopped, the area was cleared, and a spotter was assigned. A separate welding activity was planned farther down the unit, and the team confirmed that sparks, leads, and temporary equipment would not interfere with the maintenance access or emergency route. The operator then checked the pump trend, confirmed that no abnormal pressure escalation was occurring, and requested an inspection of the support structure. No single observation by itself represented an incident, but the simultaneous presence of changing equipment condition, imperfect identification, temporary access obstruction, and overlapping work activities represented a meaningful precursor pattern. The crew conducted a toolbox talk, revalidated the permit and LOTO controls, restored the pedestrian route, and completed the lift only after the exclusion zone was established. Maintenance later found a loosened support fastener and corrected it. The event was recorded for learning because the early signals were subtle and could easily have been dismissed individually. No injury, release, equipment damage, or process upset occurred. The main lesson was to treat weak signals collectively, especially when equipment condition changes occur at the same time as maintenance, lifting, temporary routing, or other SIMOPS. The supervisor also requested that future handovers explicitly mention temporary hoses, tag discrepancies, unusual vibration, and any activity that changes the normal line of fire. The final review confirmed that the LOTO boundary was correct, the BOP and ESD status were normal, and the PSV remained available. The crew closed the permit only after the work area, access route, and emergency equipment were checked.",True
61de69a7-c114-491d-aa66-4c90b08d0784,2026-07-20,Pipeline-Station-4,Instrumentation,Report says 'no leak' but later states 'hydrocarbon dripping continuously from flange'.,True
ff8c9305-9380-4c09-bd9c-4b53a30ac80a,2099-12-31,Gas-Processing-Unit,Mechanical,Future date entered for a report describing an event already observed.,True
b94b1897-0141-476d-a0a9-e45d5ded4dde,2026-06-03,Drilling-Rig-5,Maintenance,BOP maintenance was conducted under approved LOTO with independent verification of zero energy.,True
ee9c8ce5-00fa-4166-9b93-8d97b62433f4,2026-2-7,Pipeline-Station-4,Production,Non-zero-padded date was supplied as 2026-2-7.,True
25b1be49-43c8-494c-ab8d-01657ba0ed9a,2026-03-04,Terminal-B,HSE,"During rounds, a small hydrocarbon drip was observed below a flange; the source was isolated and maintenance notified.",True
c42752eb-f967-4535-8949-c311cb333f18,2026-10-23,Tank-Farm-7,Instrumentation,AA,True
dfc16f9b-2ba8-4d5c-afd3-aa29e55bfb99,2026-06-23,Tank-Farm-7,HSE,A chain block was left hanging at shoulder height across the usual walking route after the lift was completed.,True
